0,1,2,3,4,5,6,7,Class
-60.0,-59.0,-67.0,-60.0,-64.0,-52.0,-57.0,-52.0,2
-60.0,-62.0,-56.0,-56.0,-68.0,-54.0,-59.0,-49.0,2
-56.0,-63.0,-57.0,-57.0,-68.0,-54.0,-60.0,-49.0,2
-58.0,-66.0,-55.0,-56.0,-69.0,-55.0,-64.0,-48.0,2
-57.0,-62.0,-54.0,-58.0,-73.0,-55.0,-63.0,-48.0,2
-56.0,-63.0,-55.0,-59.0,-65.0,-55.0,-62.0,-47.0,2
-57.0,-65.0,-55.0,-58.0,-69.0,-54.0,-61.0,-49.0,2
-65.0,-61.0,-55.0,-58.0,-68.0,-56.0,-64.0,-49.0,2
-64.0,-62.0,-55.0,-57.0,-65.0,-55.0,-62.0,-47.0,2
-62.0,-61.0,-55.0,-59.0,-64.0,-54.0,-60.0,-47.0,2
-64.0,-60.0,-56.0,-57.0,-65.0,-54.0,-62.0,-50.0,2
-63.0,-62.0,-56.0,-57.0,-64.0,-57.0,-60.0,-49.0,2
-62.0,-63.0,-57.0,-58.0,-64.0,-55.0,-60.0,-50.0,2
-58.0,-61.0,-56.0,-58.0,-70.0,-54.0,-62.0,-51.0,2
-56.0,-63.0,-55.0,-55.0,-63.0,-55.0,-61.0,-50.0,2
-57.0,-60.0,-55.0,-56.0,-65.0,-55.0,-61.0,-50.0,2
-58.0,-62.0,-56.0,-61.0,-65.0,-54.0,-60.0,-50.0,2
-56.0,-57.0,-56.0,-69.0,-63.0,-53.0,-64.0,-53.0,2
-57.0,-56.0,-56.0,-64.0,-62.0,-53.0,-65.0,-53.0,2
-54.0,-59.0,-57.0,-65.0,-64.0,-55.0,-66.0,-52.0,2
-56.0,-58.0,-57.0,-63.0,-64.0,-56.0,-68.0,-53.0,2
-56.0,-57.0,-57.0,-64.0,-64.0,-56.0,-66.0,-52.0,2
-59.0,-57.0,-56.0,-63.0,-62.0,-52.0,-66.0,-52.0,2
-56.0,-57.0,-56.0,-63.0,-62.0,-55.0,-77.0,-53.0,2
-56.0,-55.0,-55.0,-67.0,-62.0,-54.0,-69.0,-53.0,2
-56.0,-57.0,-55.0,-64.0,-63.0,-54.0,-65.0,-52.0,2
-56.0,-59.0,-56.0,-63.0,-63.0,-54.0,-62.0,-53.0,2
-56.0,-62.0,-55.0,-62.0,-64.0,-54.0,-66.0,-52.0,2
-56.0,-60.0,-55.0,-65.0,-63.0,-55.0,-67.0,-53.0,2
-54.0,-59.0,-54.0,-65.0,-64.0,-54.0,-65.0,-53.0,2
-55.0,-59.0,-56.0,-63.0,-62.0,-55.0,-64.0,-51.0,2
-54.0,-60.0,-55.0,-64.0,-62.0,-56.0,-65.0,-53.0,2
-55.0,-61.0,-55.0,-66.0,-63.0,-55.0,-66.0,-52.0,2
-56.0,-61.0,-54.0,-67.0,-60.0,-56.0,-65.0,-53.0,2
-55.0,-60.0,-54.0,-66.0,-62.0,-54.0,-68.0,-52.0,2
-55.0,-60.0,-55.0,-65.0,-60.0,-54.0,-66.0,-53.0,2
-54.0,-71.0,-55.0,-65.0,-59.0,-54.0,-66.0,-53.0,2
-55.0,-64.0,-55.0,-65.0,-60.0,-56.0,-66.0,-53.0,2
-61.0,-60.0,-52.0,-70.0,-57.0,-62.0,-55.0,-65.0,2
-61.0,-58.0,-53.0,-70.0,-56.0,-60.0,-57.0,-69.0,3
-61.0,-62.0,-52.0,-66.0,-57.0,-58.0,-56.0,-70.0,3
-61.0,-60.0,-51.0,-66.0,-60.0,-61.0,-55.0,-69.0,3
-61.0,-61.0,-51.0,-65.0,-59.0,-59.0,-56.0,-73.0,3
-61.0,-56.0,-52.0,-70.0,-58.0,-60.0,-57.0,-68.0,3
-65.0,-66.0,-55.0,-64.0,-65.0,-59.0,-61.0,-67.0,3
-63.0,-64.0,-56.0,-62.0,-62.0,-58.0,-64.0,-62.0,3
-62.0,-66.0,-57.0,-61.0,-65.0,-56.0,-61.0,-62.0,3
-64.0,-68.0,-56.0,-62.0,-62.0,-57.0,-61.0,-62.0,3
-72.0,-66.0,-57.0,-62.0,-62.0,-57.0,-61.0,-66.0,3
-66.0,-67.0,-56.0,-67.0,-72.0,-58.0,-61.0,-65.0,3
-67.0,-66.0,-56.0,-64.0,-65.0,-58.0,-62.0,-66.0,3
-66.0,-69.0,-58.0,-64.0,-63.0,-58.0,-61.0,-66.0,3
-65.0,-67.0,-55.0,-65.0,-64.0,-59.0,-60.0,-64.0,3
-66.0,-66.0,-56.0,-62.0,-67.0,-59.0,-61.0,-66.0,3
-58.0,-60.0,-56.0,-59.0,-60.0,-66.0,-64.0,-67.0,3
-58.0,-58.0,-58.0,-60.0,-64.0,-66.0,-62.0,-70.0,3
-59.0,-55.0,-58.0,-61.0,-66.0,-67.0,-59.0,-74.0,3
-60.0,-59.0,-58.0,-60.0,-67.0,-67.0,-60.0,-74.0,3
-59.0,-58.0,-57.0,-59.0,-66.0,-65.0,-60.0,-70.0,3
-60.0,-56.0,-57.0,-57.0,-62.0,-65.0,-60.0,-66.0,3
-60.0,-56.0,-56.0,-59.0,-63.0,-64.0,-60.0,-70.0,3
-58.0,-58.0,-59.0,-57.0,-63.0,-64.0,-59.0,-63.0,3
-60.0,-58.0,-57.0,-57.0,-63.0,-66.0,-59.0,-66.0,3
